id,date,price
1,72,457
2,277,139
3,207,115
4,86,386
5,49,62
6,20,430
7,339,311
8,177,418
9,203,361
10,32,173
11,126,282
12,208,187
13,140,320
14,273,404
15,109,9
16,233,95
17,81,137
18,221,44
19,80,430
20,98,59
21,176,39
22,117,59
23,172,271
24,280,389
25,282,58
26,210,251
27,136,38
28,57,61
29,175,119
30,137,387
31,84,470
32,55,149
33,282,168
34,144,221
35,234,169
36,96,232
37,356,494
38,246,52
39,291,283
40,77,100
41,345,60
42,4,263
43,286,271
44,57,295
45,25,334
46,323,110
47,129,43
48,277,288
49,294,240
50,51,330
51,251,236
52,365,145
53,132,463
54,87,367
55,352,121
56,64,10
57,61,473
58,172,7
59,181,338
60,309,464
61,154,50
62,331,350
63,183,68
64,251,448
65,166,228
66,339,178
67,116,111
68,233,429
69,292,371
70,190,24
71,194,42
72,267,123
73,335,416
74,334,418
75,319,401
76,292,146
77,126,140
78,326,262
79,288,421
80,10,98
81,280,74
82,246,109
83,282,41
84,322,119
85,109,125
86,110,452
87,238,150
88,13,335
89,240,207
90,208,442
91,287,101
92,236,331
93,184,118
94,201,159
95,196,78
96,251,197
97,361,110
98,247,428
99,301,296
100,237,156
101,142,371
102,152,229
103,177,301
104,208,187
105,243,344
106,347,101
107,194,496
108,333,499
109,342,306
110,189,28
111,170,254
112,140,285
113,331,52
114,3,405
115,156,229
116,113,250
117,327,218
118,244,317
119,269,422
120,111,428
121,139,17
122,270,244
123,181,116
124,123,122
125,1,329
126,179,366
127,209,298
128,351,317
129,52,138
130,127,359
131,328,63
132,31,352
133,74,349
134,169,87
135,51,437
136,141,26
137,2,409
138,130,232
139,280,419
140,317,228
141,80,448
142,117,406
143,11,144
144,184,114
145,276,368
146,349,219
147,236,123
148,119,291
149,80,335
150,284,155
151,334,443
152,301,397
153,161,254
154,344,339
155,129,386
156,87,345
157,104,323
158,283,248
159,23,7
160,52,309
161,255,246
162,246,186
163,77,78
164,352,410
165,272,8
166,167,202
167,15,399
168,333,152
169,10,452
170,38,169
171,157,424
172,364,97
173,310,442
174,329,396
175,16,397
176,193,235
177,219,71
178,341,407
179,80,159
180,239,454
181,193,469
182,343,33
183,63,307
184,241,275
185,175,48
186,184,321
187,186,275
188,225,196
189,38,242
190,148,41
191,12,229
192,112,175
193,199,140
194,280,133
195,129,395
196,251,34
197,126,312
198,234,336
199,52,51
200,17,51
201,39,473
202,68,277
203,154,311
204,152,29
205,360,331
206,26,146
207,79,313
208,95,8
209,347,391
210,254,414
211,152,191
212,146,369
213,205,432
214,242,124
215,281,191
216,122,42
217,344,201
